"StateOrUT","30-Jan","31-Jan","01-Feb","02-Feb","03-Feb","04-Feb","05-Feb","06-Feb","07-Feb","08-Feb","09-Feb","10-Feb","11-Feb","12-Feb","13-Feb","14-Feb","15-Feb","16-Feb","17-Feb","18-Feb","19-Feb","20-Feb","21-Feb","22-Feb","23-Feb","24-Feb","25-Feb","26-Feb","27-Feb","28-Feb","29-Feb","01-Mar","02-Mar","03-Mar","04-Mar","05-Mar","06-Mar","07-Mar","08-Mar","09-Mar","10-Mar","13-Mar","11-Mar","12-Mar","14-Mar","15-Mar","16-Mar","17-Mar","18-Mar","19-Mar","20-Mar","21-Mar","22-Mar","23-Mar","24-Mar","25-Mar","26-Mar","27-Mar","28-Mar","29-Mar","30-Mar","31-Mar","01-Apr","02-Apr","03-Apr","04-Apr","05-Apr","06-Apr","07-Apr","08-Apr","09-Apr","10-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","18-Apr","19-Apr","20-Apr","21-Apr","22-Apr","23-Apr","24-Apr","25-Apr","26-Apr","27-Apr","28-Apr","29-Apr","30-Apr","02-May","03-May","04-May","05-May","06-May","07-May","08-May","09-May","10-May","11-May","12-May","13-May","14-May","15-May","16-May","17-May","18-May","19-May","20-May","21-May","22-May","23-May","24-May","25-May","26-May","27-May","28-May","29-May","30-May","31-May","01-Jun","02-Jun","03-Jun","04-Jun","05-Jun","06-Jun","07-Jun","08-Jun","09-Jun","10-Jun","11-Jun","12-Jun","13-Jun","14-Jun","15-jun","16-Jun","17-Jun","18-Jun","19-Jun","20-Jun"
"Delhi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,4,5,6,6,7,7,7,8,9,11,16,25,28,28,29,30,35,35,38,38,87,97,120,219,219,445,503,523,576,576,669,898,903,1069,1154,1510,1561,1578,1640,1707,1893,2003,2081,2156,2248,2376,2514,2625,2918,3108,3314,3439,3738,4122,4549,4898,5104,5532,5980,6318,6542,6923,7233,7639,7998,8470,8895,9333,10054,10054,10554,11088,11659,12319,12910,13418,14053,14465,15257,16281,17386,18549,19844,20834,22132,23645,25004,26334,27654,28936,29943,31309,32810,34687,36824,38958,41182,42829,44688,47102,49979,"53116"
"Goa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,15,17,29,38,46,50,52,54,55,66,67,67,68,69,69,70,70,71,79,79,166,196,300,300,330,359,387,417,463,523,564,592,629,656,705,"725"
"Gujarat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,18,29,32,37,42,42,44,52,69,73,74,87,95,105,122,144,165,165,179,241,308,432,539,617,695,871,1021,1272,1604,1851,2066,2272,2407,2624,2815,3071,3301,3548,3774,4082,4721,5055,5428,5804,6245,6625,7012,7402,7796,8194,8541,8903,9267,9591,9931,10988,11379,11745,12140,12537,12905,13268,13664,14056,14460,14821,15195,15562,15934,16343,16779,17200,17617,18100,18584,19094,20070,20070,20545,21014,21521,22032,22527,23038,23544,24055,24577,25093,25601,"26141"
"Haryana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,7,12,14,14,16,16,19,19,36,40,43,43,49,49,59,84,90,147,169,169,177,185,185,199,199,205,205,225,233,233,254,254,262,272,272,289,289,296,310,310,360,394,442,517,548,594,625,647,675,703,730,780,793,818,818,887,910,928,964,993,1031,1067,1131,1184,1184,1305,1381,1504,1721,1923,2091,2356,2652,2954,3281,3597,4448,4448,4854,5209,5579,5968,6334,6749,7208,7722,8272,8832,9218,"9743"
"Himachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,6,6,6,13,13,18,18,28,28,32,32,32,33,35,35,38,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,41,42,45,46,50,50,55,59,65,66,74,76,78,80,90,92,110,152,168,185,203,223,247,273,276,295,313,331,340,345,359,383,393,413,413,421,445,451,470,486,502,518,556,560,569,595,"619"
"Jammu and Kashmir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,7,13,13,20,31,48,54,55,62,75,75,106,109,116,116,158,184,207,224,245,270,278,300,314,328,341,350,368,380,407,427,454,494,523,546,565,581,639,666,701,726,741,775,793,823,836,861,879,934,971,983,1013,1121,1183,1289,1317,1390,1449,1489,1569,1621,1668,1759,1921,2036,2164,2341,2446,2601,2718,2857,3142,3324,4087,4087,4285,4346,4507,4574,4730,4878,5041,5220,5298,5406,5555,"5680"
"Jharkhand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4,13,13,17,17,19,24,27,28,29,33,35,42,46,0,49,55,59,67,82,103,105,107,111,115,115,115,125,127,132,132,156,157,160,172,173,197,203,217,223,223,231,231,290,308,350,370,377,426,448,469,511,563,610,659,712,752,793,881,1099,1099,1256,1411,1489,1599,1617,1711,1745,1763,1839,1895,1920,"1965"
"Karnataka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,6,6,6,6,11,11,14,15,15,26,33,37,41,55,55,55,76,83,83,101,110,124,128,144,151,175,175,181,197,214,226,247,258,277,315,353,371,384,395,415,425,443,463,489,501,511,520,532,557,598,606,642,659,671,693,705,753,794,848,862,925,959,987,1056,1092,1147,1246,1397,1462,1605,1743,1959,2089,2182,2283,2418,2533,2781,2922,3221,3408,3796,4063,4320,4835,5452,5452,5760,5921,6041,6245,6516,6824,7000,7213,7530,7734,7944,"8281"
"Kerala",1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,9,15,17,17,19,19,22,23,24,25,25,26,33,45,60,87,101,110,129,168,174,202,234,241,265,286,295,306,314,327,336,345,357,364,374,376,379,387,388,395,396,400,402,408,427,438,448,451,458,469,482,486,496,498,500,500,500,502,503,503,503,505,512,519,524,534,560,576,587,601,630,642,666,690,732,795,847,896,963,1004,1088,1150,1208,1269,1326,1412,1494,1588,1699,1914,1914,2005,2096,2161,2244,2322,2407,2461,2543,2622,2697,2794,"2912"
"Ladakh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,6,8,8,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,17,17,18,18,18,18,18,18,18,18,20,20,20,22,22,22,22,40,41,41,41,41,42,42,42,42,42,42,43,43,43,43,43,43,43,44,44,44,49,52,52,53,53,73,74,74,74,77,81,90,90,97,103,103,103,108,115,135,239,437,549,555,649,687,687,"744"
